labels,cleaned_comments
negative,велл всё равно мусор страшного
negative,трезвая жизнь такая стрёмная артём azrtusa
neutral,какие неожиданные результаты
neutral,заборе написано сборе денег слышу впервые
neutral,мебельная компания
speech,счастья здоровья классникам
neutral,пали
positive,красивый
negative,цыган хуле
speech,днём рождения успехов побед
positive,очень красиво чувственно пишешь
neutral,играю волейбол ради смысла
positive,вхвхвх
neutral,день выборов президента беларуси начать опрос
negative,плачу
neutral,надоедать начать спасибо информацию
skip,кеча топилмагунча уйқим мушук манимча
positive,малышка спи сладко
neutral,хех просто объяснил матушке использую маты придания большей эмоциональной окраски своей речи
negative,також творю хуйню тому давай творити хуйню
negative,готова выебанной экран
skip,кладбище домашних
positive,люблю титьки
neutral,абаммед мухдул
neutral,обсуждаем последние новости
negative,мужики такие
neutral,реакция болельщиков челси трансфер виктора мозеса спартак
skip,это странно чтлио
negative,ощущаю выражение влачить своё существование
neutral,помните зарегистрировались твиттере помню моягодовщинавтвиттере
positive,стэнить гат7 моим самым лучшим решением жизнь
speech,ахаха ладно спасибо
neutral,вийди отсюда розбійник писала хорошая подружка почитай
neutral,согласна
positive,целых
negative,весь список огласить судьба
neutral,ролевики помощью нашего контента отыгрывать твои видео
negative,ебошь
negative,очень хочется сменить форму тебе скучно
negative,руки вышли дохуллион отпраздновать
neutral,ачё пропали твит часа назад сделала
skip,услышал
neutral,всем привет мем вышел контроля это мем
negative,пономарь обхуярился
skip,иоооо нэг тариа тариулсан үхэхжийн баруун талын хөл тэр чигээрээ
positive,итак время софтить тэхена
neutral,гад такого
neutral,думаю грань размыта
positive,чимин самый вкусный рисовый пирожочекк
skip,свернула приехала деревню
negative,такая фигня помню большую часть своего детства знаю рассказов своих родителей видеозаписей
positive,сегодня ночью буду обнимать книги рефераты хотелось сладких снов спите сладко
skip,понимаю
neutral,симферополе разрабатывают план обустройству велодорожек
negative,отменила последнюю бронь отпускного жилья очень больно помогите
positive,красивааа
neutral,bangbangcon посмотрели целый концерт душ успела сходить второй
neutral,нужно переводить эфир мальчиков думаю займусь ночью
positive,блин свадьбу хочу
speech,спасибо
positive,безопасней настаивали сергея
positive,ахаххах
skip,покойной тебе увуня
skip,открывай
skip,плохое
neutral,рыбалка инском тёплом канале уклейка карасики прикорм мастырка помощью
negative,снова позвонили ебучей работы
negative,тоби курама софтятся конец света близок
negative,хуже
positive,вместе просто идеальны
neutral,музыкальную школу бузулука впервые приобрели клавишные гусли
neutral,это солнышко пацански
positive,случай день ateez san
neutral,бранислав иванович покинет зенит окончании текущего сезона
neutral,грех жаловаться считаю
positive,сегодня сном желаю уголочек вашего одеяла который обнимаете сказал именно этих тёплых объятий ждал весь день
neutral,монголия закрыла границу китаем
neutral,красного учусь луганске
neutral,понимаю
neutral,всем снятся
positive,удачи тебе танцы это лучшее придумало
neutral,лежу
negative,ненавижу сексуализацию женских персонажей
negative,хочу жизнь кирпич повесить въезжали дураки
skip,воу воу бэдэмэсэ
negative,очень далеко mtvhottest bt
negative,это правда насчёт тао чжиын блять всё щас орать буду
neutral,думаете сфоткаюсь
negative,самый блятт сложный экзамен
positive,плиз сама котичек это заслужила молодец
positive,день удался
neutral,заусенец мизинце
neutral,сахар соль
positive,дождались спасибо
positive,отличная работа вами очень довольна баллов лично гриффиндору обещаю поблажку экзамене
positive,похвально стопгейма
negative,эээ небось поблочили
negative,гад
neutral,рост 156 нужно сделать поцеловать
neutral,моей жены это
neutral,крошечный
neutral,впервые
positive,делать понравилось
skip,шөнөжин хөөгдөж байхаар нэг хөлөндөө тээглээд болтугай унадаг байгаа даа
speech,спасибо
skip,любая защита это вагина любая атака это член
neutral,севгу прошел круглый стол случаю дня солидарности борьбе терроризмом
neutral,бро
neutral,перепугался
neutral,галя подай галя пожалуйста хлеб хлеб
neutral,взаимный
negative,буквально обосрись
neutral,шары распадутся
negative,сделал гинтоки бане
skip,писать
neutral,сожалению это врач беларуси
neutral,вечно
neutral,группе нервы состоит реинкарнация маяковского
neutral,хочу напрягать сильно
negative,пиздануться проснуться пью дня подряд сегодня точно буду
positive,нэжно
negative,заныла
skip,бекон
negative,это туберкулез
negative,никак боюсь
positive,хорошое шоу вышло замену eurovis
negative,моей младшей школы заброшенный магазин которой устроить личную дурку трупов
positive,яяяя чувствую это правда люблю запахи
speech,хепи нью еар
negative,никто хуйлу забудьте думать
neutral,пропустил турции половину матчей мышечным травмам
speech,спасибо
neutral,супы
skip,боже реально отмер мозг могу думать аахаха
skip,хихи риллайф канкри бррр
neutral,горит восток зарею новой
positive,россии всё
negative,знали треш сессией ненавижу это помойку ебаную
negative,короче пизду вашего дворецкого стекло нахцй
neutral,такое
neutral,жениться
neutral,моей лооол
speech,спасибо кот
neutral,выживут трое
neutral,ещё твиттере
speech,девочки прекрасным праздником любите будьте счастливы здоровы
negative,умру прям
negative,поглядите кобенится
positive,блин наранча милый добрый наранча самом деле
neutral,правила жизни монеточки
neutral,тобирама одумайся
neutral,объедут кругу вернутся
neutral,сразу создал лунара
speech,увуву спасибо большое
neutral,такое задании
neutral,приснился искандар мамадалиев
neutral,шумно рядом paddington туда поезд хитроу приезжает
neutral,ник
positive,абсент возбуждает сознание зеленой фее живущей абсенте нужна ваша душа сука шесть лет прошло равно переворачивает брррр
negative,зима нравится лето почему территория простреливается
positive,поздно понимать поэтому нужно ценить
negative,девочка тиктоке выбесила своим муж люблю психов псих очнись пожалуйста
neutral,это поддержано министерством здравоохранения серьезно
neutral,представьте дропнут клип
negative,сбежать сволочи пускают потенциального заразчика среди людей погулять
negative,ребят понимаю понимаю
neutral,подольше удавалось
positive,браво завидан интелект
positive,маша бояться нечего
neutral,михаил мишустин меры борьбе коронавирусом россии своевременные правильные
skip,лекин бирар марта гаи аёл курмаганман анак гендер тенглик
negative,лукашеску ещё хотел сказать гитлер таких тихановская вообще убивал подумал это перебор промолчал
neutral,другими словами нашу вами сторону круглосуточно космоса смотреть тысяч радаров
neutral,павла поставил выше иисуса пиар кампании иисуса забыли пару лет
neutral,шрифт используете это написано руки
positive,умф обажаю трек
neutral,самые полезные зимой продукты
negative,всё поисках золотой середины кондиционером открытым окном хочется сдохнуть всё ещё
